Trait	h2	SE	Int	IntSE	MeanChi2	Lambda	Ratio	RatioSE	Z
ChHeight_03yo	0.2909	0.0262	1.0821	0.0109	1.2804	1.2295	0.2929	0.0389	11.1
ChHeight_05yo	0.3959	0.0348	1.0524	0.0093	1.2212	1.1937	0.2368	0.0422	11.4
ChHeight_07yo	0.4246	0.0339	1.0589	0.009	1.24	1.2025	0.2452	0.0374	12.5
ChHeight_08yo	0.4268	0.0304	1.0765	0.0099	1.3069	1.2422	0.2492	0.0323	14.1
ChHeight_14yo	0.422	0.0651	1.0262	0.0083	1.11	1.1028	0.2378	0.075	6.48
ChHeight_18mo	0.2684	0.0211	1.0907	0.0114	1.3273	1.2567	0.277	0.0347	12.7
ChWeight_03yo_hAdj	0.2484	0.0223	1.0402	0.0089	1.2061	1.186	0.1952	0.0431	11.2
ChWeight_03yo	0.3261	0.0278	1.0705	0.0106	1.2911	1.2393	0.2422	0.0364	11.7
ChWeight_05yo_hAdj	0.2059	0.0274	1.0241	0.0081	1.1096	1.0894	0.2194	0.0736	7.5
ChWeight_05yo	0.3628	0.0352	1.0445	0.0091	1.1965	1.1624	0.2263	0.0462	10.3
ChWeight_07yo_hAdj	0.2237	0.0279	1.0144	0.0081	1.1104	1.1019	0.1308	0.0732	8.03
ChWeight_07yo	0.3502	0.0365	1.0466	0.0091	1.196	1.1761	0.2377	0.0467	9.59
ChWeight_08yo_hAdj	0.2768	0.0292	1.0296	0.009	1.1763	1.1472	0.1682	0.0509	9.49
ChWeight_08yo	0.4026	0.0348	1.0491	0.0094	1.2632	1.2171	0.1866	0.0356	11.6
ChWeight_14yo_hAdj	0.0575	0.0455	1.0078	0.007	1.0188	1.0217	0.4157	0.3699	1.26
ChWeight_14yo	0.0813	0.049	1.0116	0.0075	1.0273	1.0267	0.4255	0.2749	1.66
ChWeight_18mo_hAdj	0.3578	0.0231	1.0713	0.0101	1.3741	1.3029	0.1906	0.027	15.5
ChWeight_18mo	0.3678	0.0259	1.0889	0.0118	1.4076	1.3261	0.2181	0.029	14.2
