Trait	h2	SE	Int	IntSE	MeanChi2	Lambda	Ratio	RatioSE	Z
ChHeight_03yo	0.0164	0.0135	1.0089	0.0066	1.0201	1.0242	0.4433	0.3304	1.21
ChHeight_05yo	-3e-04	0.0227	1.0183	0.0073	1.0183	1.0305	0.9961	0.3989	-0.014
ChHeight_07yo	-0.0012	0.0228	1.012	0.0074	1.0116	1.0193	1.0335	0.6375	-0.0548
ChHeight_08yo	0.0211	0.0196	1.0174	0.0076	1.0296	1.0324	0.5883	0.2565	1.08
ChHeight_14yo	0.031	0.0496	1.0052	0.0073	1.0113	1.0063	0.4606	0.6412	0.625
ChHeight_18mo	0.0119	0.0112	1.0121	0.0071	1.0228	1.0197	0.5334	0.3116	1.07
ChWeight_03yo_hAdj	0.0241	0.0148	1.0109	0.0074	1.0278	1.0302	0.3906	0.267	1.63
ChWeight_03yo	0.0137	0.0145	1.0199	0.0075	1.0294	1.0343	0.6776	0.2558	0.943
ChWeight_05yo_hAdj	0.0472	0.0217	1.0142	0.0069	1.0341	1.0333	0.4157	0.2038	2.18
ChWeight_05yo	0.0536	0.0248	1.0149	0.0078	1.037	1.0388	0.4019	0.2111	2.16
ChWeight_07yo_hAdj	0.0564	0.0229	1.0058	0.007	1.0303	1.0297	0.1904	0.2296	2.46
ChWeight_07yo	0.0103	0.0206	1.0119	0.0076	1.0163	1.0152	0.7337	0.4672	0.502
ChWeight_08yo_hAdj	0.0593	0.0202	1.0322	0.0077	1.0636	1.0522	0.5062	0.1215	2.93
ChWeight_08yo	0.0669	0.0207	1.029	0.0074	1.0644	1.0594	0.45	0.1143	3.23
ChWeight_14yo_hAdj	-0.0281	0.0461	1.0039	0.0066	0.9983	0.9995	-2.3206	-3.9587	-0.608
ChWeight_14yo	-0.0367	0.0467	1.0161	0.0069	1.0088	1.0032	1.8315	0.7885	-0.785
ChWeight_18mo_hAdj	0.0058	0.0105	1.02	0.007	1.0253	1.0283	0.7889	0.2758	0.559
ChWeight_18mo	0.02	0.0108	1.0109	0.0071	1.0286	1.0266	0.3806	0.2474	1.85
