"Var1","Var2","r","se","p","n"
"AsqMotor_6mo","AsqLangu_6mo","0.112","0.0033","0.00e+00","88819"
"IcqFussi_6mo","AsqLangu_6mo","0.16","0.0033","0.00e+00","88562"
"AsqLangu_18mo","AsqLangu_6mo","0.133","0.0036","0.00e+00","72449"
"AsqMotor_18mo","AsqLangu_6mo","0.099","0.0037","0.00e+00","72459"
"CbclExter_18mo","AsqLangu_6mo","0.108","0.0037","0.00e+00","72782"
"CbclInter_18mo","AsqLangu_6mo","0.07","0.0037","0.00e+00","72606"
"EasActiv_18mo","AsqLangu_6mo","0.046","0.0037","0.00e+00","72432"
"EasEmoti_18mo","AsqLangu_6mo","-0.069","0.0037","0.00e+00","72440"
"EasShyne_18mo","AsqLangu_6mo","0.083","0.0037","0.00e+00","72420"
"EasSocia_18mo","AsqLangu_6mo","0.068","0.0037","0.00e+00","72423"
"AsqLangu_3yr","AsqLangu_6mo","0.125","0.0041","0.00e+00","56271"
"AsqMotor_3yr","AsqLangu_6mo","0.139","0.0041","0.00e+00","56201"
"CbclExter_3yr","AsqLangu_6mo","0.089","0.0043","0.00e+00","52211"
"CbclInter_3yr","AsqLangu_6mo","0.075","0.0044","0.00e+00","52084"
"CfqPress_3yr","AsqLangu_6mo","0.028","0.0042","0.00e+00","55319"
"CfqRestr_3yr","AsqLangu_6mo","0.021","0.0043","0.00e+00","55301"
"EasActiv_3yr","AsqLangu_6mo","0.041","0.0044","0.00e+00","52065"
"EasEmoti_3yr","AsqLangu_6mo","-0.058","0.0044","0.00e+00","52072"
"EasShyne_3yr","AsqLangu_6mo","0.092","0.0043","0.00e+00","52054"
"EasSocia_3yr","AsqLangu_6mo","0.064","0.0044","0.00e+00","52058"
"ItseaCompe_3yr","AsqLangu_6mo","-0.065","0.0042","0.00e+00","56380"
"ItseaDysre_3yr","AsqLangu_6mo","0.047","0.0042","0.00e+00","56039"
"ItseaExter_3yr","AsqLangu_6mo","0.066","0.0042","0.00e+00","56059"
"ItseaInter_3yr","AsqLangu_6mo","0.034","0.0042","0.00e+00","56041"
"ScqRestr_3yr","AsqLangu_6mo","-0.024","0.0042","0.00e+00","56230"
"ScqSocia_3yr","AsqLangu_6mo","0.152","0.0041","0.00e+00","56270"
"SdqProso_3yr","AsqLangu_6mo","-0.135","0.0041","0.00e+00","56272"
"AsqLangu_5yr","AsqLangu_6mo","0.104","0.005","0.00e+00","39523"
"AsqMotor_5yr","AsqLangu_6mo","-0.115","0.005","0.00e+00","39518"
"CastFull_5yr","AsqLangu_6mo","-0.041","0.0084","0.00e+00","14170"
"CbclExter_5yr","AsqLangu_6mo","0.085","0.0052","0.00e+00","36422"
"CbclInter_5yr","AsqLangu_6mo","0.093","0.0052","0.00e+00","36344"
"CccCoher_5yr","AsqLangu_6mo","-0.122","0.005","0.00e+00","39548"
"CprsrsFull_5yr","AsqLangu_6mo","0.123","0.005","0.00e+00","39503"
"EasActiv_5yr","AsqLangu_6mo","-0.039","0.0052","0.00e+00","36314"
"EasEmoti_5yr","AsqLangu_6mo","-0.071","0.0052","0.00e+00","36321"
"EasShyne_5yr","AsqLangu_6mo","0.071","0.0052","0.00e+00","36306"
"EasSocia_5yr","AsqLangu_6mo","0.046","0.0052","0.00e+00","36312"
"SlasFull_5yr","AsqLangu_6mo","-0.098","0.0098","0.00e+00","10221"
"SprakExpre_5yr","AsqLangu_6mo","0.081","0.0054","0.00e+00","33402"
"SprakRecep_5yr","AsqLangu_6mo","0.098","0.0054","0.00e+00","33403"
"SprakSeman_5yr","AsqLangu_6mo","0.102","0.0054","0.00e+00","33421"
"CccCoher_8yr","AsqLangu_6mo","0.11","0.0059","0.00e+00","28340"
"CebqFull_8yr","AsqLangu_6mo","0.014","0.0049","0.00e+00","41368"
"NhpicBenev_8yr","AsqLangu_6mo","0.046","0.0049","0.00e+00","41461"
"NhpicConsc_8yr","AsqLangu_6mo","-0.104","0.0049","0.00e+00","41463"
"RsdbdAdhd_8yr","AsqLangu_6mo","0.088","0.0049","0.00e+00","41491"
"RsdbdCondu_8yr","AsqLangu_6mo","0.037","0.0049","0.00e+00","41562"
"RsdbdHyper_8yr","AsqLangu_6mo","0.057","0.0049","0.00e+00","41480"
"RsdbdInatt_8yr","AsqLangu_6mo","0.092","0.0049","0.00e+00","41489"
"RsdbdOdd_8yr","AsqLangu_6mo","0.066","0.0049","0.00e+00","41473"
"ScaredFull_8yr","AsqLangu_6mo","0.032","0.0049","0.00e+00","41506"
"ScqRestr_8yr","AsqLangu_6mo","-0.045","0.0053","0.00e+00","35184"
"ScqSocia_8yr","AsqLangu_6mo","0.056","0.0053","0.00e+00","35211"
"SmfqFull_8yr","AsqLangu_6mo","0.062","0.0049","0.00e+00","41444"
"SpinFull_8yr","AsqLangu_6mo","0.066","0.0049","0.00e+00","40519"
"SprakSeman_8yr","AsqLangu_6mo","0.072","0.0065","0.00e+00","23500"
"CapeFullC_14yr","AsqLangu_6mo","0.001","0.007","0.00e+00","20643"
"PeqParenC_14yr","AsqLangu_6mo","-0.016","0.0069","0.00e+00","20702"
"SbSchooC_14yr","AsqLangu_6mo","0.007","0.0073","0.00e+00","18912"
"SclAnxieC_14yr","AsqLangu_6mo","0.005","0.0073","0.00e+00","18926"
"SclDepreC_14yr","AsqLangu_6mo","0.006","0.0073","0.00e+00","18920"
"SdqProsoC_14yr","AsqLangu_6mo","-0.035","0.008","0.00e+00","15569"
"SdqProsoM_14yr","AsqLangu_6mo","-0.106","0.0088","0.00e+00","12689"
"SmfqFullC_14yr","AsqLangu_6mo","0.008","0.008","0.00e+00","15730"
"SmfqFullM_14yr","AsqLangu_6mo","0.028","0.0086","0.00e+00","13354"
"SpinFullC_14yr","AsqLangu_6mo","0.023","0.0081","0.00e+00","15334"
"SppaSociaC_14yr","AsqLangu_6mo","-0.039","0.0069","0.00e+00","20718"
"SwlsFullC_14yr","AsqLangu_6mo","-0.009","0.007","0.00e+00","20699"
"YptiFullC_14yr","AsqLangu_6mo","0.012","0.007","0.00e+00","20573"
"IcqFussi_6mo","AsqMotor_6mo","0.066","0.0033","0.00e+00","88572"
"AsqLangu_18mo","AsqMotor_6mo","0.191","0.0036","0.00e+00","72449"
"AsqMotor_18mo","AsqMotor_6mo","0.313","0.0033","0.00e+00","72466"
"CbclExter_18mo","AsqMotor_6mo","0","0.0037","0.00e+00","72788"
"CbclInter_18mo","AsqMotor_6mo","0.067","0.0037","0.00e+00","72612"
"EasActiv_18mo","AsqMotor_6mo","0.138","0.0036","0.00e+00","72438"
"EasEmoti_18mo","AsqMotor_6mo","-0.034","0.0037","0.00e+00","72446"
"EasShyne_18mo","AsqMotor_6mo","0.07","0.0037","0.00e+00","72426"
"EasSocia_18mo","AsqMotor_6mo","0.055","0.0037","0.00e+00","72429"
"AsqLangu_3yr","AsqMotor_6mo","0.143","0.0041","0.00e+00","56271"
"AsqMotor_3yr","AsqMotor_6mo","0.15","0.0041","0.00e+00","56203"
"CbclExter_3yr","AsqMotor_6mo","0.039","0.0044","0.00e+00","52213"
"CbclInter_3yr","AsqMotor_6mo","0.064","0.0044","0.00e+00","52086"
"CfqPress_3yr","AsqMotor_6mo","0.017","0.0043","0.00e+00","55321"
"CfqRestr_3yr","AsqMotor_6mo","0.001","0.0043","0.00e+00","55303"
"EasActiv_3yr","AsqMotor_6mo","0.084","0.0044","0.00e+00","52067"
"EasEmoti_3yr","AsqMotor_6mo","-0.034","0.0044","0.00e+00","52074"
"EasShyne_3yr","AsqMotor_6mo","0.063","0.0044","0.00e+00","52056"
"EasSocia_3yr","AsqMotor_6mo","0.053","0.0044","0.00e+00","52060"
"ItseaCompe_3yr","AsqMotor_6mo","-0.05","0.0042","0.00e+00","56382"
"ItseaDysre_3yr","AsqMotor_6mo","0.018","0.0042","0.00e+00","56041"
"ItseaExter_3yr","AsqMotor_6mo","0.021","0.0042","0.00e+00","56061"
"ItseaInter_3yr","AsqMotor_6mo","0.042","0.0042","0.00e+00","56043"
