Trait	h2	SE	Int	IntSE	MeanChi2	Lambda	Ratio	RatioSE	Z
ChAsqLanguQ04	0.0207	0.0077	1.0433	0.0071	1.0676	1.0765	0.6397	0.105	2.67
ChAsqLanguQ05	0.0716	0.0101	1.0693	0.0074	1.1395	1.1443	0.4968	0.0531	7.1
ChAsqLanguQ06	0.0425	0.0117	1.0529	0.0071	1.0857	1.087	0.6169	0.0831	3.65
ChAsqLanguQ07	0.0573	0.0158	1.033	0.007	1.0646	1.0733	0.511	0.1077	3.63
ChAsqMotorQ04	0.0897	0.0092	1.0468	0.0074	1.1526	1.1374	0.3065	0.0485	9.78
ChAsqMotorQ05	0.0395	0.0099	1.0491	0.0074	1.0875	1.0771	0.5609	0.0843	4.01
ChAsqMotorQ06	0.0317	0.0118	1.0512	0.0072	1.0772	1.0759	0.6633	0.0929	2.69
ChAsqMotorQ07	0.0364	0.0155	1.0319	0.007	1.0527	1.0561	0.6055	0.132	2.35
ChCapeFullQ11C	0.1213	0.0284	0.9956	0.0069	1.0354	1.0364	-0.1239	0.1942	4.27
ChCastFullQ07	0.0425	0.0369	0.9883	0.0064	0.9979	0.9938	5.5035	-3.0253	1.15
ChCbclAdhdQ05	0.0494	0.0092	1.0347	0.007	1.0863	1.0895	0.4026	0.0808	5.39
ChCbclAdhdQ06	0.0044	0.0115	1.0631	0.007	1.0664	1.0664	0.9498	0.1054	0.378
ChCbclAdhdQ07	0.0361	0.0173	1.0417	0.0071	1.0623	1.0608	0.67	0.1136	2.09
ChCbclExterQ05	0.0457	0.0091	1.048	0.007	1.096	1.1028	0.5	0.0729	5.03
ChCbclExterQ06	0.0199	0.0119	1.0677	0.0071	1.0832	1.0858	0.8141	0.0858	1.67
ChCbclExterQ07	0.0402	0.0175	1.043	0.0071	1.0657	1.0686	0.654	0.1088	2.31
ChCbclFullQ05	0.04	0.0092	1.0561	0.0071	1.0984	1.1058	0.5705	0.0724	4.36
ChCbclFullQ06	0.0164	0.012	1.0711	0.0072	1.0843	1.0961	0.8435	0.0853	1.37
ChCbclFullQ07	0.008	0.0167	1.0492	0.007	1.0542	1.054	0.9073	0.129	0.481
ChCbclInterQ05	0.0276	0.0093	1.0471	0.0071	1.0753	1.0729	0.626	0.0943	2.97
ChCbclInterQ06	0.0439	0.012	1.0377	0.007	1.0707	1.0699	0.5332	0.0992	3.65
ChCbclInterQ07	0.0434	0.0163	1.0162	0.0068	1.0408	1.0332	0.3974	0.1654	2.66
ChCccCoherQ07	0.0524	0.0157	1.0423	0.0071	1.0733	1.0732	0.5761	0.0964	3.33
ChCccCoherQ09	0.0751	0.022	1.0341	0.0071	1.0668	1.064	0.5108	0.1062	3.41
ChCccFullQ07	0.0524	0.0157	1.0423	0.0071	1.0733	1.0732	0.5761	0.0964	3.33
ChCccFullQ09	0.0714	0.022	1.0465	0.0071	1.0769	1.0819	0.6051	0.0922	3.24
ChCebqFullQ09	0.05	0.015	1.0381	0.0069	1.0699	1.0716	0.5444	0.0992	3.32
ChCfqFullQ06	0.0209	0.011	1.0623	0.007	1.0802	1.0836	0.7763	0.0879	1.9
ChCfqPressQ06	0.0609	0.0122	1.0629	0.0073	1.1125	1.1092	0.5592	0.0647	4.98
ChCfqRestrQ06	0.0241	0.0112	1.0563	0.0071	1.0777	1.0851	0.724	0.091	2.16
ChCprsrsFullQ07	0.0201	0.0153	1.0603	0.0071	1.0723	1.0751	0.8336	0.0985	1.31
ChEasActivQ05	0.0923	0.0105	1.0357	0.0074	1.1333	1.1292	0.2677	0.0555	8.81
ChEasActivQ06	0.1061	0.0136	1.0368	0.0074	1.1193	1.1172	0.3084	0.0617	7.83
ChEasActivQ07	0.0782	0.018	1.0374	0.0074	1.0814	1.0765	0.459	0.0909	4.33
ChEasEmotiQ05	0.0485	0.0094	1.0365	0.0073	1.0869	1.0787	0.4204	0.0837	5.18
ChEasEmotiQ06	0.0602	0.0125	1.0269	0.0071	1.074	1.0752	0.3634	0.0957	4.81
ChEasEmotiQ07	-0.0013	0.0158	1.0394	0.0069	1.0387	1.0443	1.0192	0.1774	-0.0812
ChEasFullQ05	0.0648	0.0099	1.0396	0.0074	1.1083	1.1047	0.3655	0.068	6.54
ChEasFullQ06	0.0844	0.014	1.0467	0.0076	1.1119	1.1046	0.4172	0.0684	6.05
ChEasFullQ07	0.1183	0.018	1.0203	0.0071	1.0856	1.0823	0.237	0.0828	6.57
ChEasShyneQ05	0.0911	0.0101	1.0249	0.0074	1.1181	1.1029	0.2105	0.0628	8.99
ChEasShyneQ06	0.0744	0.0139	1.0511	0.0077	1.1086	1.0976	0.4708	0.0706	5.36
ChEasShyneQ07	0.1352	0.0186	1.0234	0.0074	1.0991	1.0927	0.236	0.0752	7.27
ChEasSociaQ05	0.0339	0.0089	1.0368	0.007	1.0715	1.0742	0.514	0.0975	3.8
ChEasSociaQ06	0.0537	0.0128	1.047	0.0073	1.0876	1.0789	0.5361	0.0833	4.21
ChEasSociaQ07	0.097	0.0174	1.0165	0.007	1.07	1.0805	0.2366	0.0996	5.59
ChIcqFullQ04	0.1	0.0098	1.0573	0.0079	1.1775	1.1659	0.3226	0.0448	10.2
ChIcqFussiQ04	0.1009	0.0096	1.0573	0.0079	1.1792	1.1722	0.3198	0.0442	10.5
ChItseaCompeQ06	0.0214	0.0108	1.0248	0.0069	1.0423	1.0393	0.5858	0.1623	1.98
ChItseaDysreQ06	0.04	0.0113	1.0417	0.007	1.0748	1.0762	0.5574	0.0936	3.55
ChItseaExterQ06	0.0772	0.012	1.0441	0.0072	1.1094	1.1069	0.4033	0.0656	6.44
ChItseaFullQ06	0.0571	0.0117	1.0494	0.0072	1.0988	1.101	0.5005	0.0726	4.89
ChItseaInterQ06	0.0476	0.011	1.0225	0.0068	1.0617	1.0591	0.365	0.1109	4.33
ChNhpicBenevQ09	0.0624	0.0148	1.033	0.007	1.072	1.0739	0.4582	0.0978	4.22
ChNhpicConscQ09	0.0903	0.0153	1.0398	0.0072	1.0961	1.0967	0.4145	0.0745	5.89
ChNhpicFullQ09	0.0598	0.0147	1.0504	0.0071	1.088	1.0924	0.5723	0.0808	4.05
ChPeqFullQ11C	0.1183	0.0288	1.01	0.0068	1.0482	1.044	0.2084	0.1418	4.11
ChPeqParenQ11C	0.1183	0.0288	1.01	0.0068	1.0482	1.044	0.2084	0.1418	4.11
ChRsdbdAdhdQ09	0.0678	0.0157	1.0645	0.0073	1.1079	1.1051	0.5974	0.068	4.33
ChRsdbdConduQ09	0.0378	0.0157	1.0605	0.0072	1.0844	1.0745	0.7166	0.0858	2.41
ChRsdbdFullQ09	0.0636	0.0154	1.0725	0.0073	1.1132	1.1154	0.6403	0.0643	4.12
ChRsdbdHyperQ09	0.0882	0.0153	1.0517	0.0072	1.1076	1.1094	0.4806	0.0667	5.75
ChRsdbdInattQ09	0.0655	0.0153	1.0548	0.0072	1.0967	1.0944	0.5673	0.0747	4.28
ChRsdbdOddQ09	0.0568	0.0157	1.0513	0.0073	1.087	1.0814	0.5902	0.0837	3.61
ChSbFullQ11C	0.0738	0.0294	1.0001	0.0066	1.0218	1.0263	0.0043	0.3039	2.51
ChSbSchooQ11C	0.0738	0.0294	1.0001	0.0066	1.0218	1.0263	0.0043	0.3039	2.51
ChScaredFullQ09	0.0227	0.0141	1.0325	0.0069	1.0469	1.0486	0.692	0.1467	1.6
ChSclAnxieQ11C	0.0888	0.0304	1.0017	0.0069	1.0276	1.0235	0.0615	0.2493	2.92
ChSclDepreQ11C	0.1312	0.0308	1.0031	0.0068	1.0411	1.0461	0.0753	0.1664	4.26
ChSclFullQ11C	0.1308	0.0306	1.0019	0.0068	1.0401	1.0361	0.0485	0.1704	4.27
ChScqFullQ06	0.0103	0.0109	1.0519	0.007	1.0612	1.0597	0.8479	0.1137	0.942
ChScqFullQ09	0.0249	0.0169	1.0457	0.007	1.0585	1.0619	0.7809	0.12	1.47
ChScqRestrQ06	0.0205	0.011	1.0511	0.007	1.0692	1.0737	0.7383	0.1005	1.86
ChScqRestrQ09	0.0606	0.017	1.0158	0.0069	1.0478	1.0526	0.3297	0.1438	3.56
ChScqSociaQ06	0.0311	0.0108	1.046	0.007	1.0723	1.0724	0.6367	0.0966	2.87
ChScqSociaQ09	0.007	0.0168	1.0632	0.0072	1.0665	1.065	0.9513	0.1077	0.415
ChSdqFullQ06	0.0445	0.0117	1.0451	0.0072	1.0819	1.0811	0.5505	0.0884	3.81
ChSdqFullQ11C	0.0647	0.0375	1.0128	0.0067	1.0284	1.0242	0.4516	0.2379	1.73
ChSdqFullQ11M	-0.0069	0.0431	1.0225	0.0068	1.021	1.0341	1.0746	0.3255	-0.161
ChSdqProsoQ06	0.0445	0.0117	1.0451	0.0072	1.0819	1.0811	0.5505	0.0884	3.81
ChSdqProsoQ11C	0.0647	0.0375	1.0128	0.0067	1.0284	1.0242	0.4516	0.2379	1.73
ChSdqProsoQ11M	-0.0069	0.0431	1.0225	0.0068	1.021	1.0341	1.0746	0.3255	-0.161
ChSlasFullQ07	0.0141	0.0564	1.0095	0.0067	1.0119	1.021	0.8041	0.5658	0.251
ChSmfqFullQ09	0.039	0.0148	1.0263	0.007	1.0514	1.0534	0.511	0.1361	2.63
ChSmfqFullQ11C	0.1579	0.0379	0.9965	0.0068	1.0343	1.0336	-0.1012	0.1978	4.16
ChSmfqFullQ11M	0.0804	0.0435	1.0047	0.0068	1.021	1.0205	0.2232	0.3227	1.85
ChSpinFullQ09	0.0627	0.0153	1.0513	0.0072	1.0925	1.0971	0.5546	0.0779	4.11
ChSpinFullQ11C	0.0703	0.0364	1.0003	0.0066	1.0168	1.0129	0.0182	0.3935	1.93
