"Var1","Var2","r","se","p"
"AsqMotor_6mo","AsqLangu_6mo","0.106","0.0033","0.00e+00"
"IcqFussi_6mo","AsqLangu_6mo","0.063","0.0033","0.00e+00"
"AsqLangu_18mo","AsqLangu_6mo","0.105","0.0037","0.00e+00"
"AsqMotor_18mo","AsqLangu_6mo","0.084","0.0037","0.00e+00"
"CbclExter_18mo","AsqLangu_6mo","0.044","0.0037","0.00e+00"
"CbclInter_18mo","AsqLangu_6mo","0.038","0.0037","0.00e+00"
"EasActiv_18mo","AsqLangu_6mo","0.015","0.0037","0.00e+00"
"EasEmoti_18mo","AsqLangu_6mo","0.006","0.0037","0.00e+00"
"EasShyne_18mo","AsqLangu_6mo","0.02","0.0037","0.00e+00"
"EasSocia_18mo","AsqLangu_6mo","0.039","0.0037","0.00e+00"
"AsqLangu_3yr","AsqLangu_6mo","0.111","0.0042","0.00e+00"
"AsqMotor_3yr","AsqLangu_6mo","0.103","0.0042","0.00e+00"
"CbclExter_3yr","AsqLangu_6mo","0.01","0.0044","0.00e+00"
"CbclInter_3yr","AsqLangu_6mo","0.038","0.0044","0.00e+00"
"CfqPress_3yr","AsqLangu_6mo","0.005","0.0043","0.00e+00"
"CfqRestr_3yr","AsqLangu_6mo","-0.021","0.0043","0.00e+00"
"EasActiv_3yr","AsqLangu_6mo","0.007","0.0044","0.00e+00"
"EasEmoti_3yr","AsqLangu_6mo","-0.005","0.0044","0.00e+00"
"EasShyne_3yr","AsqLangu_6mo","0.014","0.0044","0.00e+00"
"EasSocia_3yr","AsqLangu_6mo","0.012","0.0044","0.00e+00"
"ItseaCompe_3yr","AsqLangu_6mo","0.059","0.0042","0.00e+00"
"ItseaDysre_3yr","AsqLangu_6mo","0.036","0.0042","0.00e+00"
"ItseaExter_3yr","AsqLangu_6mo","0.014","0.0042","0.00e+00"
"ItseaInter_3yr","AsqLangu_6mo","0.03","0.0042","0.00e+00"
"ScqRestr_3yr","AsqLangu_6mo","-0.013","0.0042","0.00e+00"
"ScqSocia_3yr","AsqLangu_6mo","0.121","0.0042","0.00e+00"
"SdqProso_3yr","AsqLangu_6mo","0.082","0.0042","0.00e+00"
"AsqLangu_5yr","AsqLangu_6mo","0.091","0.005","0.00e+00"
"AsqMotor_5yr","AsqLangu_6mo","0.101","0.005","0.00e+00"
"CastFull_5yr","AsqLangu_6mo","0.041","0.0084","0.00e+00"
