Trait,h2,SE,Int,IntSE,MeanChi2,Lambda,Ratio,RatioSE,Z
ChAsqLangu_Q04,0.0172,0.0077,1.0397,0.0071,1.0599,1.0678,0.6626,0.1179,2.24
ChAsqLangu_Q05,0.0436,0.0096,1.0605,0.0072,1.1031,1.1092,0.5865,0.07,4.56
ChAsqLangu_Q06,0.032,0.0114,1.0518,0.007,1.0766,1.0757,0.6765,0.0917,2.81
ChAsqLangu_Q07,0.0553,0.0158,1.0269,0.0069,1.0578,1.063,0.4655,0.1193,3.5
ChAsqMotor_Q04,0.0722,0.0089,1.0485,0.0074,1.1334,1.1201,0.3634,0.0553,8.09
ChAsqMotor_Q05,0.0364,0.0097,1.0482,0.0073,1.0836,1.0724,0.5765,0.0875,3.75
ChAsqMotor_Q06,0.0256,0.0113,1.0315,0.007,1.0521,1.0502,0.6055,0.1339,2.26
ChAsqMotor_Q07,0.0375,0.0154,1.0287,0.0069,1.0501,1.0509,0.5722,0.1369,2.43
ChCapeFull_Q11C,-0.0515,0.0251,1.0085,0.0066,0.9919,0.9923,-1.0417,-0.8078,-2.05
ChCastFull_Q07,0.0146,0.0378,1.003,0.0067,1.0063,1.0065,0.476,1.0561,0.388
ChCbclAdhd_Q05,0.0183,0.0085,1.019,0.0065,1.0377,1.0416,0.5025,0.1727,2.16
ChCbclAdhd_Q06,-0.0155,0.0109,1.028,0.0067,1.016,1.0135,1.7575,0.417,-1.42
ChCbclAdhd_Q07,0.008,0.0155,1.0001,0.0065,1.0044,1.0122,0.0156,1.4817,0.513
ChCbclExter_Q05,0.0051,0.0084,1.0176,0.0067,1.0231,1.0211,0.7597,0.2918,0.608
ChCbclExter_Q06,-0.0165,0.0107,1.0255,0.0067,1.0126,1.0113,2.018,0.5324,-1.54
ChCbclExter_Q07,0.0013,0.0155,1,0.0066,1.0007,0.9974,-0.0161,8.9718,0.0867
ChCbclFull_Q05,0.0056,0.0088,1.0274,0.0068,1.0336,1.0221,0.8144,0.2035,0.634
ChCbclFull_Q06,-0.0119,0.0109,1.0286,0.0068,1.0192,1.0193,1.4871,0.356,-1.09
ChCbclFull_Q07,-3e-04,0.0154,1.0019,0.0066,1.0017,1.0039,1.0903,3.842,-0.0198
ChCbclInter_Q05,0.0054,0.0086,1.024,0.0069,1.0295,1.029,0.8148,0.2324,0.634
ChCbclInter_Q06,0.0159,0.0115,1.0101,0.0068,1.0224,1.021,0.4506,0.3046,1.38
ChCbclInter_Q07,0.008,0.0159,1.0111,0.0067,1.0157,1.0202,0.7076,0.423,0.505
ChCccCoher_Q07,0.0072,0.0144,1.0144,0.0068,1.0185,1.0143,0.7808,0.3672,0.502
ChCccCoher_Q09,0.0761,0.0217,1.0111,0.0069,1.044,1.0459,0.2522,0.1576,3.5
ChCccFull_Q07,0.007,0.0144,1.0144,0.0068,1.0183,1.0138,0.7843,0.3699,0.49
ChCccFull_Q09,0.0426,0.0213,1.0086,0.0068,1.0264,1.0245,0.3251,0.259,2.01
ChCebqFull_Q09,-0.0098,0.0141,1.0312,0.0069,1.025,1.0208,1.2461,0.2771,-0.694
ChCfqFull_Q06,6e-04,0.0102,1.0236,0.0067,1.0242,1.0295,0.9763,0.2765,0.0613
ChCfqPress_Q06,0.0108,0.0104,1.0134,0.0068,1.0223,1.0126,0.6001,0.3029,1.04
ChCfqRestr_Q06,-0.0094,0.0103,1.0271,0.0067,1.0194,1.0189,1.3986,0.3476,-0.91
ChCprsrsFull_Q07,0.0386,0.0149,1.0015,0.0067,1.0248,1.0284,0.0605,0.2714,2.59
ChEasActiv_Q05,0.0042,0.0081,1.0126,0.0067,1.0166,1.0119,0.7595,0.4001,0.514
ChEasActiv_Q06,-0.005,0.0111,1.0273,0.0068,1.0237,1.0236,1.1531,0.2872,-0.452
ChEasActiv_Q07,0.0197,0.0158,1.0145,0.0066,1.025,1.0319,0.5781,0.2637,1.25
ChEasEmoti_Q05,0.0096,0.0082,1.0156,0.0068,1.0256,1.033,0.6077,0.2643,1.18
ChEasEmoti_Q06,0.027,0.0116,1.0045,0.0068,1.026,1.0181,0.1711,0.2616,2.32
ChEasEmoti_Q07,-0.008,0.015,1.012,0.0066,1.0077,1.0104,1.5609,0.8601,-0.531
ChEasFull_Q05,-0.0068,0.0084,1.0368,0.0069,1.0299,1.0314,1.2312,0.2318,-0.815
ChEasFull_Q06,-0.0042,0.0111,1.0231,0.0069,1.0198,1.0232,1.1673,0.3498,-0.376
ChEasFull_Q07,-0.0209,0.0151,1.0219,0.0065,1.0104,1.0134,2.1034,0.6302,-1.38
ChEasShyne_Q05,-0.0176,0.0081,1.0298,0.0067,1.0117,1.0185,2.5455,0.5696,-2.17
ChEasShyne_Q06,-0.0041,0.011,1.0208,0.0067,1.0176,1.0226,1.1799,0.383,-0.375
ChEasShyne_Q07,-0.0072,0.0153,1.0106,0.0066,1.0066,1.0095,1.5959,0.9989,-0.471
ChEasSocia_Q05,0.0047,0.0086,1.0285,0.007,1.0339,1.0335,0.8417,0.2072,0.545
ChEasSocia_Q06,0.0077,0.0112,1.0071,0.0067,1.0129,1.0142,0.5549,0.5175,0.685
ChEasSocia_Q07,-0.0062,0.0152,1.0247,0.0067,1.0214,1.0241,1.1537,0.3136,-0.408
ChIcqFull_Q04,0.026,0.0081,1.0135,0.007,1.0451,1.039,0.2993,0.1555,3.22
ChIcqFussi_Q04,0.0244,0.008,1.0116,0.0071,1.0411,1.0378,0.2819,0.1724,3.07
ChItseaCompe_Q06,0.0279,0.011,1.0238,0.0069,1.0468,1.0454,0.5079,0.1479,2.54
ChItseaDysre_Q06,0.0353,0.011,1.0381,0.0071,1.0678,1.0652,0.5618,0.1048,3.2
ChItseaExter_Q06,0.0129,0.0103,1.0216,0.0067,1.0319,1.0291,0.6769,0.2113,1.25
ChItseaFull_Q06,-0.0038,0.0102,1.0235,0.0069,1.0201,1.0201,1.1659,0.3438,-0.372
ChItseaInter_Q06,0.042,0.0108,1.0217,0.0067,1.0562,1.0515,0.3866,0.12,3.87
ChNhpicBenev_Q09,0.0087,0.0133,1.0167,0.0067,1.0224,1.0193,0.7469,0.2982,0.655
ChNhpicConsc_Q09,0.0158,0.014,0.9973,0.0066,1.0076,1.0117,-0.3569,0.8751,1.13
ChNhpicFull_Q09,0.0082,0.0139,1.0014,0.0069,1.0067,1.0099,0.2024,1.0233,0.591
ChPeqFull_Q11C,0.0925,0.028,0.9899,0.0067,1.0198,1.0145,-0.5078,0.3403,3.3
ChPeqParen_Q11C,0.0972,0.028,0.9895,0.0067,1.0209,1.0148,-0.5017,0.3225,3.47
ChRsdbdAdhd_Q09,-0.006,0.0133,1.0092,0.0067,1.0055,1.006,1.6822,1.2186,-0.451
ChRsdbdCondu_Q09,0.0338,0.0156,1.059,0.0072,1.0805,1.0729,0.7338,0.0896,2.17
ChRsdbdFull_Q09,-0.0019,0.0132,1.0075,0.0066,1.0063,1.0083,1.1809,1.0441,-0.141
ChRsdbdHyper_Q09,0.021,0.0137,1.0208,0.0067,1.0343,1.043,0.6073,0.1953,1.53
ChRsdbdInatt_Q09,0.0093,0.0139,1.009,0.0068,1.015,1.0088,0.5987,0.45,0.667
ChRsdbdOdd_Q09,0.0237,0.0137,1.005,0.0066,1.0201,1.0225,0.25,0.3288,1.73
ChSbFull_Q11C,0.0013,0.0285,1.0047,0.0064,1.0051,1.0036,0.9322,1.2688,0.0463
ChSbSchoo_Q11C,4e-04,0.0285,1.0049,0.0064,1.0049,1.0036,0.9851,1.2998,0.0139
ChScaredFull_Q09,0.0131,0.0135,1.0193,0.0067,1.0276,1.0316,0.7002,0.2428,0.971
ChSclAnxie_Q11C,0.0199,0.0304,1.0112,0.0069,1.0171,1.0154,0.6553,0.4031,0.654
ChSclDepre_Q11C,0.0406,0.0284,0.9975,0.0065,1.0093,1.0107,-0.2682,0.6964,1.43
ChSclFull_Q11C,-6e-04,0.0294,1.0041,0.0068,1.0039,1.0044,1.0491,1.7132,-0.019
ChScqFull_Q06,-0.004,0.0102,1.019,0.0067,1.0155,1.0141,1.2251,0.431,-0.39
ChScqFull_Q09,0.0143,0.017,1.0417,0.0069,1.0484,1.0394,0.8619,0.1431,0.84
ChScqRestr_Q06,-0.014,0.0101,1.028,0.0068,1.0163,1.0212,1.7227,0.4205,-1.38
