Trait,Age,Model,AIC,BIC,M2,df,RMSEA,SRMSR,TLI,CFI,Reliability
AsqLangu,6mo,graded,226466.58,226654.47,234.78,5,0.02,0.02,0.95,0.97,0.23
AsqMotor,6mo,nominal,356011.83,356350.03,,,,,,,0.4
AsqLangu,18mo,nominal,311191.49,311302.27,,,,,,,0.61
AsqMotor,18mo,nominal,278553.48,278775.05,224.36,3,0.03,,0.99,1,0.36
AsqLangu,3yr,nominal,167610.3,167825.69,49.29,3,0.02,,1,1,0.51
AsqMotor,3yr,nominal,266966.45,267110.02,,,,,,,0.44
AsqLangu,5yr,nominal,147110.86,147352.44,211.92,7,0.03,,0.99,1,0.46
AsqMotor,5yr,3PL,228246.26,228556.86,1601.63,42,0.03,0.06,0.98,0.99,0.61
CapeFull,14yr(c),nominal,539901.45,541436.31,1079.91,400,0.23,,0.69,0.75,0.78
CastFull,5yr,3PL,172027.6,172483.39,2355.58,150,0.03,0.06,0.88,0.91,0.57
CbclAdhd,18mo,graded,455243.99,455354.76,630.05,2,0.07,0.03,0.95,0.98,0.62
CbclExter,18mo,nominal,869009.82,869305.38,9876.57,12,0.11,,0.61,0.83,0.61
CbclFull,18mo,nominal,1648900,1649528.08,38277.87,102,0.07,,0.63,0.72,0.67
CbclInter,18mo,nominal,388600.44,388785.12,,,,,,,0.43
CbclAdhd,3yr,nominal,531755.23,531970.53,616.99,3,0.06,,0.96,0.99,0.72
CbclExter,3yr,nominal,880095,880489.71,10364.74,33,0.07,,0.89,0.93,0.76
CbclFull,3yr,nominal,1829773.51,1830670.61,39475.08,250,0.05,,0.87,0.89,0.81
CbclInter,3yr,nominal,558339.53,558662.48,944.37,18,0.03,,0.95,0.98,0.54
CbclAdhd,5yr,nominal,337125.1,337332.12,955.17,3,0.09,,0.93,0.99,0.73
CbclExter,5yr,nominal,534921.39,535300.93,7319.51,33,0.07,,0.91,0.95,0.76
CbclFull,5yr,nominal,1128077.21,1128974.32,18316.84,273,0.05,,0.91,0.92,0.8
CbclInter,5yr,nominal,356827.44,357206.99,1372.97,33,0.04,,0.96,0.97,0.58
CccCoher,5yr,nominal,389947.51,390258.14,,,,,,,0.64
CccFull,5yr,nominal,389947.51,390258.14,,,,,,,0.64
CccCoher,8yr,nominal,318129.48,318441.83,,,,,,,0.59
CccFull,8yr,nominal,803115.07,803948.02,12775.95,72,0.07,,0.94,0.96,0.79
CebqFull,8yr,nominal,1642068.92,1643317.76,137913.12,81,0.21,,0.35,0.66,0.85
CfqFull,3yr,nominal,1831004.18,1831864.06,20039.43,18,0.14,,0.66,0.91,0.8
CfqPress,3yr,graded,866824.65,867093.35,18455.26,9,0.19,0.14,0.61,0.77,0.82
CfqRestr,3yr,nominal,918128.03,918557.95,,,,,,,0.8
CprsrsFull,5yr,nominal,610021.88,610643.05,1907.79,30,0.04,,0.99,1,0.8
EasActiv,18mo,nominal,859188.57,859557.83,,,,,,,0.72
EasEmoti,18mo,graded,1104086.52,1104363.48,14668.02,9,0.15,0.11,0.54,0.73,0.83
EasFull,18mo,nominal,2284346.66,2285306.77,26401.44,26,0.12,,0.56,0.85,0.73
EasShyne,18mo,nominal,979382.96,979826.07,,,,,,,0.72
EasSocia,18mo,nominal,703343.51,703638.92,,,,,,,0.66
EasActiv,3yr,graded,711117.5,711341.83,1217.14,5,0.06,0.04,0.93,0.96,0.72
EasEmoti,3yr,graded,898947.16,899216.35,13470.02,9,0.16,0.12,0.49,0.69,0.86
EasFull,3yr,nominal,2024226.63,2025231.63,10655.22,35,0.07,,0.85,0.94,0.79
EasShyne,3yr,nominal,776660.19,777090.89,,,,,,,0.74
EasSocia,3yr,nominal,694158.67,694517.59,,,,,,,0.63
EasActiv,5yr,graded,496340.19,496555.89,2053.91,5,0.1,0.07,0.86,0.93,0.82
EasEmoti,5yr,graded,603190.99,603449.83,8496.1,9,0.15,0.12,0.67,0.8,0.9
EasFull,5yr,nominal,1161388,1162216.28,13488.13,18,0.14,,0.7,0.92,0.82
EasShyne,5yr,graded,575567.25,575826.08,19380.96,9,0.23,0.16,0.46,0.68,0.75
EasSocia,5yr,nominal,432924.08,433269.19,,,,,,,0.79
IcqFull,6mo,graded,2022551.22,2023208.86,12920.1,35,0.07,0.07,0.93,0.94,0.81
IcqFussi,6mo,nominal,1525728.73,1526517.89,,,,,,,0.8
ItseaCompe,3yr,graded,150991.74,151072.53,,,,,,,0.08
ItseaDysre,3yr,nominal,260768.59,260876.23,,,,,,,0.58
ItseaExter,3yr,nominal,497805.49,498056.66,735.15,7,0.04,,0.97,0.99,0.7
ItseaFull,3yr,nominal,1256203.9,1256921.99,35507.31,150,0.07,,0.75,0.8,0.72
ItseaInter,3yr,graded,337077.46,337265.83,4213.6,14,0.07,0.07,0.69,0.79,0.51
NhpicBenev,8yr,graded,595443.12,595703.37,5580.65,9,0.12,0.07,0.9,0.94,0.83
NhpicConsc,8yr,graded,605210.04,605470.29,4030.67,9,0.1,0.05,0.92,0.95,0.79
NhpicFull,8yr,graded,1219265.03,1219785.53,60867.55,54,0.16,0.11,0.69,0.75,0.84
PeqFull,14yr(c),nominal,256972.67,257356.52,320.21,4,0.06,,0.98,1,0.8
PeqParen,14yr(c),nominal,256972.67,257356.52,320.21,4,0.06,,0.98,1,0.8
RsdbdAdhd,8yr,nominal,1084754.8,1085691.77,51592.81,99,0.11,,0.91,0.94,0.86
RsdbdCondu,8yr,graded,167938.63,168216.3,1222.55,20,0.04,0.05,0.98,0.98,0.56
RsdbdFull,8yr,nominal,1721822.94,1723593.12,141806.82,459,0.09,,0.9,0.92,0.88
RsdbdHyper,8yr,nominal,519643.57,520112.03,1877.57,9,0.07,,0.97,0.99,0.76
RsdbdInatt,8yr,nominal,558648.8,559117.27,905.68,9,0.05,,0.99,1,0.82
RsdbdOdd,8yr,nominal,437843.7,438260.1,1676.37,4,0.1,,0.94,0.99,0.79
SbFull,14yr(c),nominal,189397.01,189634.23,,,,,,,0.82
SbSchoo,14yr(c),nominal,189397.01,189634.23,,,,,,,0.82
ScaredFull,8yr,nominal,189547.41,189720.93,,,,,,,0.44
SclAnxie,14yr(c),graded,121555.62,121682.15,319.15,2,0.09,0.03,0.98,0.99,0.75
SclDepre,14yr(c),nominal,165225.51,165462.74,,,,,,,0.77
SclFull,14yr(c),nominal,271560.72,271987.76,1618.27,9,0.1,,0.97,0.99,0.84
ScqFull,3yr,3PL,1385483.9,1386560.81,42980.12,700,0.04,0.08,0.86,0.87,0.76
ScqRestr,3yr,3PL,673023.67,673346.72,4033.57,42,0.04,0.03,0.95,0.97,0.73
ScqSocia,3yr,3PL,646521.08,647221.07,19486.63,273,0.04,0.05,0.85,0.88,0.54
ScqFull,8yr,3PL,753811.34,754852.6,34718.98,700,0.04,0.06,0.86,0.87,0.71
ScqRestr,8yr,3PL,188162.38,188474.75,1199.02,42,0.03,0.04,0.97,0.98,0.45
ScqSocia,8yr,3PL,514509.15,515185.97,12733.07,273,0.03,0.06,0.91,0.93,0.68
SdqFull,3yr,nominal,343671.38,343850.87,,,,,,,0.68
SdqProso,3yr,nominal,343671.38,343850.87,,,,,,,0.68
SdqFull,14yr(c),nominal,123781.62,123939.83,,,,,,,0.62
SdqProso,14yr(c),nominal,123781.62,123939.83,,,,,,,0.62
SdqFull,14yr(m),nominal,78128.07,78281.3,,,,,,,0.66
SdqProso,14yr(m),nominal,78128.07,78281.3,,,,,,,0.66
SlasFull,5yr,nominal,48908.83,49257.82,859.91,42,0.04,,1,1,0.56
SmfqFull,8yr,nominal,374562.95,375014.03,3701.98,52,0.04,,0.98,0.98,0.65
SmfqFull,14yr(c),nominal,401301.25,401717.09,3644.41,52,0.06,,0.98,0.99,0.86
SmfqFull,14yr(m),nominal,79179.52,79365.95,52.39,3,0.03,,1,1,0.59
SpinFull,8yr,graded,198600.68,198730.46,,,,,,,0.72
SpinFull,14yr(c),graded,148321.89,148441.79,,,,,,,0.79
SppaFull,14yr(c),graded,198027.72,198187.68,809.45,5,0.09,0.04,0.97,0.98,0.81
SppaSocia,14yr(c),graded,198027.72,198187.68,809.45,5,0.09,0.04,0.97,0.98,0.81
Sprak,,,,,,,,,,,
SprakExpre,5yr,nominal,113945.58,114148.59,685.51,3,0.08,,0.93,0.99,0.45
SprakFull,5yr,nominal,494707.74,495384.52,658.71,12,0.04,,0.98,0.99,0.64
SprakRecep,5yr,nominal,134547.06,134750.07,1585.72,12,0.06,,0.95,0.98,0.64
SprakSeman,5yr,nominal,260793.3,261064,,,,,,,
