Var1,Var2,r,se,p,n,Analysis,absZ
AsqMotor 6mo,AsqLangu 6mo,0.112,0.003,0,88819,FS,33.94
IcqFussi 6mo,AsqLangu 6mo,0.16,0.003,0,88562,FS,48.48
AsqLangu 18mo,AsqLangu 6mo,0.133,0.004,0,72449,FS,36.94
AsqMotor 18mo,AsqLangu 6mo,0.099,0.004,0,72459,FS,26.76
CbclExter 18mo,AsqLangu 6mo,0.108,0.004,0,72782,FS,29.19
CbclInter 18mo,AsqLangu 6mo,0.07,0.004,0,72606,FS,18.92
EasActiv 18mo,AsqLangu 6mo,0.046,0.004,0,72432,FS,12.43
EasEmoti 18mo,AsqLangu 6mo,-0.069,0.004,0,72440,FS,18.65
EasShyne 18mo,AsqLangu 6mo,0.083,0.004,0,72420,FS,22.43
EasSocia 18mo,AsqLangu 6mo,0.068,0.004,0,72423,FS,18.38
AsqLangu 3yr,AsqLangu 6mo,0.125,0.004,0,56271,FS,30.49
AsqMotor 3yr,AsqLangu 6mo,0.139,0.004,0,56201,FS,33.9
CbclExter 3yr,AsqLangu 6mo,0.089,0.004,0,52211,FS,20.7
CbclInter 3yr,AsqLangu 6mo,0.075,0.004,0,52084,FS,17.05
CfqPress 3yr,AsqLangu 6mo,0.028,0.004,0,55319,FS,6.67
CfqRestr 3yr,AsqLangu 6mo,0.021,0.004,0,55301,FS,4.88
EasActiv 3yr,AsqLangu 6mo,0.041,0.004,0,52065,FS,9.32
EasEmoti 3yr,AsqLangu 6mo,-0.058,0.004,0,52072,FS,13.18
EasShyne 3yr,AsqLangu 6mo,0.092,0.004,0,52054,FS,21.4
EasSocia 3yr,AsqLangu 6mo,0.064,0.004,0,52058,FS,14.55
ItseaCompe 3yr,AsqLangu 6mo,-0.065,0.004,0,56380,FS,15.48
ItseaDysre 3yr,AsqLangu 6mo,0.047,0.004,0,56039,FS,11.19
ItseaExter 3yr,AsqLangu 6mo,0.066,0.004,0,56059,FS,15.71
ItseaInter 3yr,AsqLangu 6mo,0.034,0.004,0,56041,FS,8.1
ScqRestr 3yr,AsqLangu 6mo,-0.024,0.004,0,56230,FS,5.71
ScqSocia 3yr,AsqLangu 6mo,0.152,0.004,0,56270,FS,37.07
SdqProso 3yr,AsqLangu 6mo,-0.135,0.004,0,56272,FS,32.93
AsqLangu 5yr,AsqLangu 6mo,0.104,0.005,0,39523,FS,20.8
AsqMotor 5yr,AsqLangu 6mo,-0.115,0.005,0,39518,FS,23
CastFull 5yr,AsqLangu 6mo,-0.041,0.008,0,14170,FS,4.88
CbclExter 5yr,AsqLangu 6mo,0.085,0.005,0,36422,FS,16.35
CbclInter 5yr,AsqLangu 6mo,0.093,0.005,0,36344,FS,17.88
CccCoher 5yr,AsqLangu 6mo,-0.122,0.005,0,39548,FS,24.4
CprsrsFull 5yr,AsqLangu 6mo,0.123,0.005,0,39503,FS,24.6
EasActiv 5yr,AsqLangu 6mo,-0.039,0.005,0,36314,FS,7.5
EasEmoti 5yr,AsqLangu 6mo,-0.071,0.005,0,36321,FS,13.65
EasShyne 5yr,AsqLangu 6mo,0.071,0.005,0,36306,FS,13.65
EasSocia 5yr,AsqLangu 6mo,0.046,0.005,0,36312,FS,8.85
SlasFull 5yr,AsqLangu 6mo,-0.098,0.01,0,10221,FS,10
SprakExpre 5yr,AsqLangu 6mo,0.081,0.005,0,33402,FS,15
SprakRecep 5yr,AsqLangu 6mo,0.098,0.005,0,33403,FS,18.15
SprakSeman 5yr,AsqLangu 6mo,0.102,0.005,0,33421,FS,18.89
