rsid	PheWasP	PheWasTrait	chr	n	vP	mP	MoBaTrait	MobaAF
rs10774847	1.89998e-06	Time spent using computer	12	58495	7.93980799142901e-09	1.87214723142088e-08	AsqMotor6mo	0.393376
rs10774847	4.40301e-06	Creatinine enzymatic in urine (UKB data field 30510)	12	58495	7.93980799142901e-09	1.87214723142088e-08	AsqMotor6mo	0.393376
rs10774847	8.1298e-06	Creatinine (enzymatic) in urine	12	58495	7.93980799142901e-09	1.87214723142088e-08	AsqMotor6mo	0.393376
rs2048711	2e-06	Time spent using computer	12	58516	8.24346882745888e-09	2.19189628207401e-08	AsqMotor6mo	0.393226
rs2048711	5.00564e-06	Creatinine enzymatic in urine (UKB data field 30510)	12	58516	8.24346882745888e-09	2.19189628207401e-08	AsqMotor6mo	0.393226
rs2048711	8.74561e-06	Creatinine (enzymatic) in urine	12	58516	8.24346882745888e-09	2.19189628207401e-08	AsqMotor6mo	0.393226
rs7297772	2e-06	Time spent using computer	12	58516	8.24346882745888e-09	2.19189628207401e-08	AsqMotor6mo	0.393226
rs7297772	5.46525e-06	Creatinine enzymatic in urine (UKB data field 30510)	12	58516	8.24346882745888e-09	2.19189628207401e-08	AsqMotor6mo	0.393226
rs7297772	9.39615e-06	Creatinine (enzymatic) in urine	12	58516	8.24346882745888e-09	2.19189628207401e-08	AsqMotor6mo	0.393226
rs3095155	1.1143988892536e-308	Non-cancer illness code  self-reported: malabsorption/coeliac disease	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.1289039792536e-308	ENSG00000204525	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.0797e-218	White blood cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.0797e-218	white blood cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.01837e-198	Lymphocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.01837e-198	lymphocyte cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.18577e-189	Primary sclerosing cholangitis	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.69828e-184	White blood cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.7378e-170	ENSG00000137331	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.39959e-165	Lymphocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.12831e-164	White blood cell leukocyte count (UKB data field 30000)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.94457e-156	ENSG00000214894	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.32108e-148	Lymphocyte count (UKB data field 30120)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.17687e-137	White blood cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.46684e-137	White blood cell (leukocyte) count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.96789e-132	Monocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.96789e-132	monocyte cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	3.04089e-124	ENSG00000137312	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.92501e-122	Coeliac disease	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.4388e-120	Lymphocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.34423e-120	Lymphocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.531e-110	Monocyte count (UKB data field 30130)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.0797e-105	ENSG00000137411	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.57e-92	Neutrophil count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.57e-92	neutrophil cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.61994e-90	Monocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.41046e-90	Monocyte count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.63027e-90	Eosinophil counts	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.63027e-90	eosinophil cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.27585e-81	Aspartate aminotransferase levels (UKB data field 30650)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.59993e-81	Neutrophil count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.27625e-81	Neutrophill count (UKB data field 30140)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.70016e-77	Eosinophil counts	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.54273e-76	Membranous nephropathy	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.80011e-75	Mean reticulocyte volume	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.16172e-74	Type 1 diabetes	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.54335e-74	Serum total protein level	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	7.1499e-74	Total protein	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	9.0469e-72	Systemic lupus erythematosus	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	2.09991e-71	Never eat eggs, dairy, wheat, sugar: Wheat products	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	5.88166e-71	White blood cell count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	8.87565e-71	Eosinophill count (UKB data field 30150)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	4.60999e-70	Total protein	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	1.02589e-69	Other diseases of the digestive system (K11_OTHDIG)	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	6.50429e-69	Lymphocyte counts	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
rs3095155	9.89692e-69	Neutrophil count	6	50746	0.436059748529573	2.80898875093363e-09	EasActiv18mo	0.129636
